Case_HighSeverity_1,9
Case_HighSeverity_10,15
Case_HighSeverity_2,9
Case_HighSeverity_3,9
Case_HighSeverity_4,9
Case_HighSeverity_5,28
Case_HighSeverity_6,28
Case_HighSeverity_7,28
Case_HighSeverity_8,14
Case_HighSeverity_9,15
Case_LowSeverity_1,9
Case_LowSeverity_10,12
Case_LowSeverity_2,9
Case_LowSeverity_3,9
Case_LowSeverity_4,9
Case_LowSeverity_5,12
Case_LowSeverity_6,12
Case_LowSeverity_7,12
Case_LowSeverity_8,12
Case_LowSeverity_9,12
Case_MedSeverity_1,9
Case_MedSeverity_10,14
Case_MedSeverity_2,9
Case_MedSeverity_3,9
Case_MedSeverity_4,9
Case_MedSeverity_5,28
Case_MedSeverity_6,28
Case_MedSeverity_7,28
Case_MedSeverity_8,14
Case_MedSeverity_9,14
